Date,Close,High,Low,Open,Volume
1/2/2015,14.62066746,14.88333321,14.21733284,14.8579998,71466000
1/5/2015,14.00599957,14.4333334,13.81066704,14.30333328,80527500
1/6/2015,14.08533287,14.27999973,13.61400032,14.00399971,93928500
1/7/2015,14.06333256,14.31866741,13.98533344,14.22333336,44526000
1/8/2015,14.0413332,14.25333309,14.00066662,14.18733311,51637500
1/9/2015,13.77733326,13.99866676,13.66399956,13.92800045,70024500
1/12/2015,13.48066711,13.63133335,13.28333282,13.53666687,89254500
1/13/2015,13.61666679,13.84066677,13.39400005,13.55466747,67159500
1/14/2015,12.84599972,13.01333332,12.33333302,12.38866711,173278500
1/15/2015,12.7913332,13.05000019,12.66666698,12.9659996,78247500
1/16/2015,12.87133312,12.9659996,12.64333344,12.71333313,54048000
1/20/2015,12.79533291,12.94133282,12.4693327,12.92466736,67548000
1/21/2015,13.10466671,13.24533272,12.63399982,12.63666725,62295000
1/22/2015,13.44133282,13.54933262,13.01333332,13.13333321,61753500
1/23/2015,13.41933346,13.5666666,13.22200012,13.35266685,51579000
1/26/2015,13.77000046,13.90799999,13.40333271,13.45533276,48517500
1/27/2015,13.73200035,13.86866665,13.55333328,13.62800026,41715000
1/28/2015,13.2913332,13.75800037,13.22799969,13.74066734,47244000
1/29/2015,13.68000031,13.73200035,13.10000038,13.4046669,53221500
1/30/2015,13.57333279,13.83133316,13.53333282,13.59733295,45105000
2/2/2015,14.06266689,14.13000011,13.55333328,13.59799957,62238000
2/3/2015,14.55733299,14.69133282,14.08466721,14.21466732,72393000
2/4/2015,14.56999969,14.76533318,14.4533329,14.55266666,49581000
2/5/2015,14.73266697,15.03199959,14.64266682,14.65866661,52843500
2/6/2015,14.49066734,14.89333344,14.4333334,14.80000019,48658500
2/9/2015,14.49866676,14.52866745,14.13266659,14.35866737,52086000
2/10/2015,14.41933346,14.69999981,14.33333302,14.50333309,80857500
2/11/2015,14.18666744,14.31599998,13.81866741,14.14733315,146536500
2/12/2015,13.5253334,13.53933334,12.88533306,12.9046669,234744000
2/13/2015,13.58466721,13.73266697,13.39400005,13.52666664,92865000
2/17/2015,13.62333298,13.71333313,13.4333334,13.71333313,59694000
2/18/2015,13.63066673,13.74466705,13.50666714,13.61133289,40704000
2/19/2015,14.11400032,14.16266727,13.58333302,13.66666698,77311500
2/20/2015,14.47399998,14.50666714,13.9873333,14.05200005,89731500
2/23/2015,13.82266712,14.5466671,13.75533295,14.37733269,127497000
2/24/2015,13.60733318,13.81933308,13.44666672,13.81933308,99054000
2/25/2015,13.58399963,13.80933285,13.50533295,13.66266727,58642500
2/26/2015,13.81266689,14.07266712,13.48133278,13.60000038,97093500
2/27/2015,13.55599976,13.90333271,13.52000046,13.79333305,58231500
3/2/2015,13.15533257,13.55599976,13.05533314,13.51333332,118831500
3/3/2015,13.3039999,13.34933281,13.02133274,13.12066746,66484500
3/4/2015,13.49600029,13.50133324,13.14733315,13.28333282,63330000
3/5/2015,13.37533283,13.74600029,13.34333324,13.5233326,73155000
3/6/2015,12.92533302,13.38333321,12.81000042,13.2806673,100686000
3/9/2015,12.72533321,12.9659996,12.55000019,12.95933342,101050500
3/10/2015,12.68799973,12.89999962,12.50666714,12.56400013,83695500
3/11/2015,12.91600037,13.07866669,12.73400021,12.74333286,74623500
3/12/2015,12.73799992,12.96333313,12.64999962,12.91666698,62239500
3/13/2015,12.57866669,12.78333282,12.48799992,12.59666729,81514500
3/16/2015,13.0466671,13.06066704,12.65333271,12.80000019,84432000
3/17/2015,12.98200035,13.24733257,12.92933273,13.02866745,73411500
3/18/2015,13.38066673,13.3920002,12.8739996,12.99733257,72313500
3/19/2015,13.04333305,13.63933277,12.96866703,13.46666718,127128000
3/20/2015,13.20533276,13.26599979,13.0413332,13.16333294,64042500
3/23/2015,13.30866718,13.36666679,13.16466713,13.23333263,39474000
3/24/2015,13.44799995,13.58600044,13.3166666,13.4386673,54748500
3/25/2015,12.9533329,13.23933315,12.84666729,13.21800041,85956000
3/26/2015,12.69400024,12.98600006,12.64666653,12.92800045,61920000
3/27/2015,12.33333302,12.61933327,12.09333324,12.60466671,129073500
3/30/2015,12.70466709,12.8166666,12.11999989,12.39000034,151342500
3/31/2015,12.58466721,12.91733265,12.56066704,12.90200043,75399000
4/1/2015,12.50599957,12.81999969,12.40333271,12.57999992,56919000
4/2/2015,12.73333263,12.88199997,12.66666698,12.68200016,75156000
4/6/2015,13.53999996,13.85000038,13.16666698,13.19999981,186837000
4/7/2015,13.55000019,13.67066669,13.40933323,13.50066662,65218500
4/8/2015,13.84466743,14.06000042,13.7246666,13.88000011,94546500
4/9/2015,14.00599957,14.02466679,13.74133301,13.89533329,57003000
4/10/2015,14.06000042,14.10999966,13.9333334,13.98999977,61015500
4/13/2015,13.98533344,14.19999981,13.93666744,14.02933311,56373000
4/14/2015,13.83066654,13.9659996,13.69999981,13.9046669,45390000
4/15/2015,13.85533333,13.97266674,13.7733326,13.83066654,29286000
4/16/2015,13.77999973,13.94466686,13.75266743,13.84666729,24886500
4/17/2015,13.78600025,13.79199982,13.5666666,13.66600037,37048500
4/20/2015,13.68466663,13.85666656,13.59000015,13.78533268,38389500
4/21/2015,13.96066666,14.05000019,13.62066746,13.72000027,51487500
4/22/2015,14.62933254,14.79199982,14.11266708,14.16666698,117945000
4/23/2015,14.57333279,14.76533318,14.4766674,14.55133343,66168000
4/24/2015,14.56200027,14.72000027,14.5340004,14.69999981,36417000
4/27/2015,15.43666744,15.91666698,14.80000019,14.83733273,175089000
4/28/2015,15.3653326,15.69999981,15.20199966,15.64999962,91281000
4/29/2015,15.49666691,15.66466713,15.17533302,15.33666706,59041500
4/30/2015,15.06999969,15.52600002,15.01133347,15.35933304,58678500
5/1/2015,15.06866741,15.45133305,14.69400024,15.32933331,79225500
5/4/2015,15.36733341,15.64866734,15.14066696,15.21199989,66519000
5/5/2015,15.52999973,15.96666718,15.2753334,15.850667,86953500
5/6/2015,15.36200047,15.63133335,15.21333313,15.60666656,79063500
5/7/2015,15.78666687,15.83199978,14.6833334,14.73333263,141838500
5/8/2015,15.77400017,15.89400005,15.57999992,15.73266697,70023000
5/11/2015,15.9659996,16.19199944,15.68733311,15.75266743,85084500
5/12/2015,16.31599998,16.42333221,15.87933254,16.00733376,95451000
5/13/2015,16.21199989,16.55333328,16.14999962,16.50733376,81603000
5/14/2015,16.2733326,16.32600021,16.08333206,16.32133293,43438500
5/15/2015,16.58933258,16.62666702,16.16666794,16.26199913,67914000
5/18/2015,16.58333206,16.65999985,16.39999962,16.46666718,50298000
5/19/2015,16.47599983,16.73333359,16.40999985,16.56200027,55113000
5/20/2015,16.29000092,16.51600075,16.09133339,16.47533226,56334000
5/21/2015,16.37466621,16.44133377,16.15733337,16.20199966,29559000
5/22/2015,16.51533318,16.57333374,16.33399963,16.35866737,33346500
5/26/2015,16.49733353,16.79999924,16.43333244,16.51199913,52480500
5/27/2015,16.49533272,16.63333321,16.37000084,16.56733322,51123000
